lambda,RMSE_mean,RMSE_std,RMSE_delta,RMSE_pct,MAD_mean,alpha_mean,alpha_std,extreme_alpha_pct
0.001,1.0266379818912243,0.03498402910756734,0.020480705118042897,2.0355371462129646,0.8113530622808961,3.7053529411764705,3.067732299514874,68.11764705882352
0.002,1.0256343176996563,0.03428340124208789,0.019477040926474842,1.9357849290658722,0.8107499717629836,3.5337058823529413,2.988131369538839,64.3529411764706
0.003,1.024692282554339,0.03358846250458492,0.01853500578115752,1.8421579020529089,0.8101912482467516,3.3397058823529413,2.8913681734883294,60.588235294117645
0.004,1.0236368154147037,0.0326577574961248,0.017479538641522296,1.73725709141422,0.8095578186636172,3.1497058823529414,2.776569690737823,57.41176470588235
0.005,1.0227190457730801,0.031988729813544156,0.016561768999898696,1.646041765260942,0.8089975147036893,2.9672941176470586,2.6326644675042306,54.70588235294118
0.01,1.019511704955459,0.028731920184996186,0.0133544281822775,1.3272704467343424,0.8071031185794161,2.2661764705882352,1.9420478059474384,42.470588235294116
0.015,1.0167020284865604,0.02657316031326991,0.010544751713378986,1.0480222085355047,0.8053654684125984,2.026529411764706,1.663937969262804,40.705882352941174
0.02,1.0145247613519206,0.025347078984458205,0.008367484578739148,0.8316278947536186,0.8040471037108561,1.8486470588235293,1.441487684463966,37.411764705882355
0.025,1.0126624239674735,0.02404958781633578,0.006505147194292071,0.6465338316843013,0.8029250261242236,1.6997647058823528,1.2519451639985921,34.11764705882353
0.03,1.0113110761020347,0.02350281838100581,0.005153799328853292,0.5122260155372425,0.8021470707558929,1.5696470588235294,1.1011000575634637,29.52941176470588
