method,RMSE_mean,RMSE_std,n_folds,MAD_mean,MAD_std,RMSE_ci95_lower,RMSE_ci95_upper,RMSE_cv,MAD_ci95_lower,MAD_ci95_upper,MAD_cv,Precision_mean,Precision_std,Recall_mean,Recall_std
ipwr,0.9622624078898566,0.004679589025507833,100,0.7670962914862983,0.0030478012226593854,0.9613452084408571,0.9631796073388561,0.4863111129707015,0.7664989224466571,0.7676936605259396,0.3973166415332389,0.5974107262222559,,0.973971331359246,
msd,0.9694458451270959,0.006028971409768107,100,0.7688623793077438,0.00632709585783992,0.9682641667307813,0.9706275235234104,0.6218987311227993,0.7676222685196072,0.7701024900958804,0.8229165619387713,0.5981530379931997,,0.9756332333703828,
jmsd,0.9995294994027651,0.0038253854086226333,100,0.7970372002512911,0.003086507520523762,0.9987797238626751,1.000279274942855,0.3827186101969339,0.7964322447772685,0.7976421557253137,0.38724761147292036,0.5972516594141964,,0.9738556946368506,
cosine,1.0036233463958388,0.004488881268479029,100,0.8020552500279021,0.003874068382486141,1.002743525667217,1.0045031671244606,0.44726752168522893,0.8012959326249348,0.8028145674308694,0.4830176452746078,0.5970925926061371,,0.9736844551050255,
jaccard,1.0092833778956285,0.00510512505628267,100,0.8069412908397362,0.004323299747183189,1.0082827733845972,1.0102839824066598,0.5058168169703672,0.8060939240892883,0.8077886575901841,0.5357638524959091,0.5971986371448433,,0.974154524889608,
acos,1.0124723070442814,0.011297557325845068,100,0.8121350437050061,0.010652454293654759,1.0102579858084157,1.014686628280147,1.1158386503257673,0.8100471626634498,0.8142229247465624,1.311660465365176,0.5971986371448433,,0.9741204932441092,
ari,1.0206731730188807,0.0093683351676351,100,0.8118539717755945,0.007189288596449836,1.0188369793260244,1.022509366711737,0.917858469810277,0.8104448712106903,0.8132630723404987,0.8855396224429676,0.5975167707609621,,0.9743328732096274,
ami,1.0237477728523803,0.009310564463916196,100,0.8150106082878159,0.007802114725622917,1.0219229022174527,1.0255726434873078,0.9094588248016375,0.8134813938015938,0.816539822774038,0.9573022297235729,0.5975697930303153,,0.9745984893430222,
spcc,1.0332608835660064,0.0030617155858265943,100,0.8165221996574593,0.002144064613161722,1.0326607873111844,1.0338609798208285,0.2963158321894421,0.8161019629932796,0.816942436321639,0.26258497491693217,0.5981530379931997,,0.9754047937139112,
cpcc,1.0332725840420587,0.0009241997008290891,100,0.8063565265939786,0.0015247097051652038,1.0330914409006962,1.0334537271834212,0.08944393910208209,0.8060576834917662,0.806655369696191,0.18908629804306581,0.5972516594141963,,0.9730908036185758,
src,1.034085858812307,0.004330192703119119,100,0.8199928883360366,0.003407719981258831,1.0332371410424956,1.0349345765821183,0.41874595481776883,0.8193249752197098,0.8206608014523633,0.4155792116897401,0.597516770760962,,0.9747037632717576,
kendall_tau_b,1.0344646272485245,0.003764624675846038,100,0.8199823017852366,0.0028895538348346402,1.0337267608120586,1.0352024936849904,0.36392009709014506,0.8194159492336089,0.8205486543368642,0.3523922197520124,0.5977818821077276,,0.974929647350608,
itr,1.0371655981045163,0.019414942642202948,100,0.8209004263941221,0.015786955181245718,1.0333602693466444,1.0409709268623881,1.871923121793178,0.8178061831785979,0.8239946696096463,1.923126687921374,0.5971986371448434,,0.9743093546835452,
pcc,1.0380898353181087,0.0040470684031546035,100,0.8207057471371794,0.0028987551291343233,1.0372966099110905,1.038883060725127,0.38985724216386664,0.820137591131869,0.8212739031424897,0.3532027330435889,0.598259082531906,,0.9755053345518292,
manhattan,1.0684278787160757,0.00461586513719323,100,0.8443881537019378,0.0030131519888187993,1.0675231691491858,1.0693325882829656,0.4320240260615523,0.8437975759121292,0.8449787314917463,0.3568444175357791,0.5948126350239525,,0.9704164325826172,
euclidean,1.0953255434977818,0.008218597216244534,100,0.8591892413289485,0.004366792233489415,1.0937146984433979,1.0969363885521657,0.7503337491792164,0.8583333500511845,0.8600451326067124,0.5082456836558022,0.5946535682158933,,0.9697314777697408,
chebyshev,1.096858881047217,0.003917281933147478,100,0.8559352056855919,0.0013320959004889893,1.0960910937883201,1.097626668306114,0.3571363646531708,0.8556741148890961,0.8561962964820877,0.15563046030125605,0.5955549467948964,,0.9709584673369458,
