lambda,optimized_rmse,optimized_alpha,vs_baseline_pct,delta_rmse,baseline_rmse
0.001,1.026237917946685,3.712904411764706,1.8723658943324557,0.018861767469180002,1.007376150477505
0.002,1.024844215551623,3.5372875816993465,1.734016143407616,0.017468065074118133,1.007376150477505
0.003,1.0247196807785186,3.340588235294118,1.721653852217235,0.017343530301013654,1.007376150477505
0.004,1.0236395588594422,3.1484803921568627,1.6144325408367368,0.016263408381937294,1.007376150477505
0.005,1.022724117450671,2.9658823529411764,1.523558699090793,0.015347966973165983,1.007376150477505
0.01,1.0195477670616784,2.264950980392157,1.2082494288160364,0.012171616584173428,1.007376150477505
0.015,1.016733502864326,2.025049019607843,0.9288836530808925,0.009357352386821116,1.007376150477505
0.02,1.014514844558658,1.8459313725490196,0.708642355466653,0.007138694081153085,1.007376150477505
0.025,1.012672428894505,1.6975980392156862,0.5257498318269305,0.005296278417000089,1.007376150477505
0.03,1.0112984669930258,1.567843137254902,0.3893596759920982,0.003922316515520885,1.007376150477505
